,name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code,phone_1,phone_2,e-mail_1,e-mail_2,message
0,🥇 Agencia inmobiliaria Mallorca ,"Carrer del Ter, 12, 2º Piso, 3º Puerta, Levante, 07009 Palma, Illes Balears, España",637792762,http://www.rhrealestatemallorca.com/,4.9,55.0,es,Google reviews: 4.9* / 55,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7009.0,637792762,,,,success
1,Inmobiliaria Inmogestión Balear,"57, Carretera de Valldemossa, Nord, 07010 Palma, Illes Balears, España",971666527,https://www.inmogestionbalear.com/,4.8,318.0,es,Google reviews: 4.8* / 318,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,971666527,689010406,,,success
2,Amelia Inmobiliaria,"Career Nuredduna, 10, 3° D, Llevant, 07006 Palma, Illes Balears, España",871591864,https://ameliainmobiliaria.com/,4.9,123.0,es,Google reviews: 4.9* / 123,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,602255172,871591864,,,success
3,Mamá Inmobiliaria,"Carrer de Bartomeu Sureda i Miserol, 7, Local 9, Poniente, 07013 Sa Vileta-Son Rapinya, Illes Balears, España",871857564,http://www.mamainmobiliaria.com/,4.9,160.0,es,Google reviews: 4.9* / 160,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7013.0,871857564,,,,success
4,Atrio inmobiliaria Mallorca,"Plaça de Sant Antoni, 11, Centre, 07002 Palma, Illes Balears, España",618922047,http://www.atrioinmobiliaria.com/,5.0,36.0,es,Google reviews: 5* / 36,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7002.0,947232309,971724681,maria@atrioinmobiliaria.com,maria@atrioinmobiliaria.com,success
5,Palmacasa Inmobiliaria,"Carrer d'En Vilanova, 4, Centre, 07002 Palma, Illes Balears, España",971714788,http://www.palmacasa.es/,4.9,343.0,es,Google reviews: 4.9* / 343,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,971714788,,,,success
6,Talaiot Asesores Inmobiliarios,"Passatge Particular de Santa Catalina de Sena, nº 1, Centre, 07002 Palma, Illes Balears, España",971754878,http://inmobiliariatalaiot.es/,4.9,492.0,es,Google reviews: 4.9* / 492,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,,,,,error:no contact info found
7,Sky Solutions Group Mallorca,"Pg. del Born, 15, 2 B-C, Distrito Centro, 07012 Palma, Illes Balears, España",971150322,https://skysolutionsgroup.es/mallorca/,4.7,47.0,es,Google reviews: 4.7* / 47,OPERATIONAL,"('real_estate_agency', 'finance', 'lawyer', 'consultant', 'point_of_interest', 'establishment')",7012.0,684467905,,,,success
8,Inmobiliaria RED Premium Real Estate  ( 07012 ),"Carrer de la Protectora, 10, LOCAL 11, Distrito Centro, 07012 Palma, Illes Balears, España",971888018,http://www.redpremium.es/,4.4,200.0,es,Google reviews: 4.4* / 200,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,9710880018,,,,success
9,Smârthöme Mallorca ,"Carrer de Can Puigdorfila, 14, Centre, 07001 Palma, Illes Balears, España",971092897,http://www.smarthomemallorca.com/,5.0,19.0,es,Google reviews: 5* / 19,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0,971092897,,,,success
10,Inmobiliaria en Palma de Mallorca ,"Calle Isla de Malta, 13, Platja de Palma, 07007 Palma, Illes Balears, España",657472783,http://www.regainternational.com/,5.0,42.0,es,Google reviews: 5* / 42,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7007.0,,,,,error:no contact info found
11,RE/MAX Immocorner ,"Pg. de Mallorca, 14, Centre, 07012 Palma, Illes Balears, España",971122991,http://www.immo-corner.com/,5.0,31.0,es,Google reviews: 5* / 31,OPERATIONAL,"('real_estate_agency', 'apartment_building', 'finance', 'point_of_interest', 'establishment')",7012.0,971122991,,,,success
12,InMallorca Inmobiliaria ( 07002 ),"Carrer de Josep Anselm Clavé, 2, Centre, 07002 Palma, Illes Balears, España",682800907,https://www.inmallorcainmobiliaria.com/,5.0,9.0,es,Google reviews: 5* / 9,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,682800907,,,,success
13,InmoBienvenue,"Plaça de Santa Eulàlia, 7, Planta 2 Despacho nº 3, Centre, 07001 Palma, Illes Balears, España",666003665,https://www.inmo-bienvenue.com/,4.5,15.0,es,Google reviews: 4.5* / 15,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7001.0,,,,,error:no contact info found
14,Inmobiliaria Inmovisa en Palma,"Carrer del Baró de Pinopar, 14, bajos, Centre, 07012 Palma, Illes Balears, España",971725969,https://inmovisa.com/,4.7,119.0,en,Google reviews: 4.7* / 119,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7012.0,971725969,605673090,,,success
15,Inmobiliaria en Palma · Balear Living Real Estate,"Gran Via Asima, 2, Nord, 07009 Palma, Illes Balears, España",971128459,https://realestatebalear.com/,5.0,63.0,es,Google reviews: 5* / 63,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7009.0,971128459,,,,success
16,Estate Agency Balearic Properties ,"Carrer d'Alcúdia, 3, 07460 Pollença, Illes Balears, España",971532984,http://www.balearic-properties.com/,4.3,59.0,es,Google reviews: 4.3* / 59,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7460.0,971532984,638475726,,,success
17,BAUZÁ INMOBILIARIA,"Carrer de la Palma, 5B, Centre, 07003 Palma, Illes Balears, España",627047217,https://bauzainmobiliaria.com/,5.0,109.0,es,Google reviews: 5* / 109,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0,627047217,,,,success
18,Mallorca Select,"Carrer dels Paraires, 26, I, Centre, 07002 Palma, Illes Balears, España",634303779,http://mallorca-select.com/,5.0,43.0,en,Google reviews: 5* / 43,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,634303779,,,,success
19,John Taylor Palma de Mallorca,"Carrer Constitució, 8, Centre, 07001 Palma, Illes Balears, España",971598800,https://www.john-taylor.es/,4.6,13.0,es,Google reviews: 4.6* / 13,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0,,,,,error:no contact info found
20,NOUDOS Inmobiliaria,"Carrer Gral. Ricardo Ortega, 6, Llevant, 07006 Palma, Illes Balears, España",971635691,http://noudos.com/,4.8,30.0,es,Google reviews: 4.8* / 30,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,699876061,,,,success
21,Engel & Völkers Palma Centro,"Carrer Constitució, 7, Centre, 07001 Palma, Illes Balears, España",971214140,https://www.engelvoelkers.com/es/en/shops/palma-centre,4.2,41.0,es,Google reviews: 4.2* / 41,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0,900747281,,,,success
22,Fincas Fiol,"Carrer de Francesc Suau, 20, Bajos, Nord, 07010 Palma, Illes Balears, España",971755220,http://www.fincasfiol.com/,4.7,380.0,es,Google reviews: 4.7* / 380,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,971755220,,,,success
23,Inmovelia,,611085207,https://inmovelia.com/,4.9,57.0,es,Google reviews: 4.9* / 57,OPERATIONAL,"('real_estate_agency', 'establishment')",,684742533,,,,success
24,Palma Realtor,"Carrer de Sant Martí, 1, Centre, 07012 Palma, Illes Balears, España",681154515,http://www.palmarealtor.com/,5.0,51.0,es,Google reviews: 5* / 51,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,681154515,,,,success
25,Baleares Immobiliaria,,620708895,http://www.baleares.immo/,5.0,15.0,es,Google reviews: 5* / 15,OPERATIONAL,"('real_estate_agency', 'establishment')",,620708895,,,,success
26,Spain Sotheby's International Realty  ( 07001 ),"Carrer de Can Puigdorfila, 2, Bajo pt 02, Distrito Centro, 07001 Palma, Illes Balears, España",871180048,https://www.spain-sothebysrealty.com/,5.0,16.0,en,Google reviews: 5* / 16,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7001.0,919041929,,,,success
27,Palmer inmobiliaria - Palma,"Carrer del Baró de Santa Maria del Sepulcre, 6, Centre, 07012 Palma, Illes Balears, España",971246540,http://www.palmerinmobiliaria.com/,4.9,61.0,es,Google reviews: 4.9* / 61,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,971240121,,,,success
