name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code
Inmobiliaria Look & Find Almería,"C. Navarro Rodrigo, 22, 04001 Almería, España",+34 950 53 04 93,https://www.inmobiliariaenalmeria.com/,4.9,217.0,es,Google reviews: 4.9* / 217,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",04001
Sinergia Inmobiliaria,"P.º de Almería, 43, 9º C, 04001 Almería, España",+34 638 00 76 08,https://www.sinergiainmo.es/,4.8,108.0,es,Google reviews: 4.8* / 108,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",04001
Inmobiliaria en Almería Anabell Canton,"Carrera de los Picos, 7, 1º izq, 04004 Almería, España",+34 667 57 57 39,https://www.anabellcanton.com/,5.0,69.0,es,Google reviews: 5* / 69,OPERATIONAL,"('real_estate_agency', 'lawyer', 'finance', 'consultant', 'point_of_interest', 'establishment')",04004
Ruano Inmobiliaria ,"Av. del Mediterráneo, 311, Local 2, 04009 Almería, España",+34 950 08 30 47,http://pisosenalmeria.es/,4.9,682.0,es,Google reviews: 4.9* / 682,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'general_contractor', 'point_of_interest', 'establishment')",04009
Salvador Viviendas & Locales ,"C. de las Tiendas, 24, 04003 Almería, España",+34 675 72 77 76,https://salvadorviviendas.com/,4.7,53.0,es,Google reviews: 4.7* / 53,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04003
HABITA STATE,"P.º de Almería, nº 45, 4º2, 04001 Almería, España",+34 606 98 05 55,http://habitastate.com/,4.5,93.0,es,Google reviews: 4.5* / 93,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04001
Garzón Gestión Inmobiliaria ,"Calle Hermanos Pinzón, 11, 04005 Almería, España",+34 950 22 99 94,http://www.garzoninmobiliaria.es/,4.6,189.0,es,Google reviews: 4.6* / 189,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",04005
Cano Inmobiliaria,"Calle Padre Joaquin Reina, 5, 04009 Almería, España",+34 950 17 71 16,https://www.inmobiliariacano.es/,4.9,4132.0,es,Google reviews: 4.9* / 4132,OPERATIONAL,"('real_estate_agency', 'lawyer', 'consultant', 'point_of_interest', 'establishment')",04009
Adriko Almería Sl,"Calle Calz. de Castro, 40, 04006 Almería, España",+34 950 08 11 20,https://www.adrikoinmobiliaria.com/,4.9,210.0,es,Google reviews: 4.9* / 210,OPERATIONAL,"('real_estate_agency', 'general_contractor', 'point_of_interest', 'establishment')",04006
AP Real Estate Services,"Av. de la Estación, 25, 7º 3 B, 04005 Almería, España",+34 950 79 02 17,,4.9,145.0,es,Google reviews: 4.9* / 145,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04005
INMOTHARSIS,"C. José Artés de Arcos, 27, 04004 Almería, España",+34 685 28 13 99,http://inmotharsis.com/,4.8,73.0,es,Google reviews: 4.8* / 73,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04004
Inmobiliaria Localiza Almería,"P.º de Almería, 36, 04001 Almería, España",+34 601 24 62 41,http://www.localizahome.com/,4.3,37.0,es,Google reviews: 4.3* / 37,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04001
Inmobiliaria Santa Isabel,"C. Firmamento, 5, 04009 Almería, España",+34 950 08 48 89,http://inmosantaisabel.com/,4.7,280.0,en,Google reviews: 4.7* / 280,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04009
Inmobiliaria Almería - Núcleo,"C. Granada, 131, 04008 Almería, España",+34 950 65 50 19,https://www.inmobiliarianucleo.com/inmobiliarias/almeria-provincia/los-angeles-almeria?utm_source=local&utm_medium=gbp,4.9,33.0,es,Google reviews: 4.9* / 33,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04008
REMAX INDALO ,"Calle Italia 3, Pt.: L1, Edif. Azalea, 04009 Almería, España",+34 950 38 56 87,https://www.remaxindalo.es/,4.9,87.0,es,Google reviews: 4.9* / 87,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",04009
Inmobiliaria en Almería ( 04004 ),"C. Tirso de Molina, 11, 04004 Almería, España",+34 698 94 21 94,https://manuelaynat.com/?utm_source=gmb&utm_medium=cpc&utm_campaign=gmb,3.9,60.0,es,Google reviews: 3.9* / 60,OPERATIONAL,"('real_estate_agency', 'finance', 'point_of_interest', 'establishment')",04004
TorreFer,"Av. de Pablo Iglesias, 25, Bajo, 04003 Almería, España",+34 950 23 77 96,http://www.torrefer.com/,4.7,81.0,es,Google reviews: 4.7* / 81,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04003
Inmobiliaria KW Almería,"Ctra. de Ronda, 1, 04004 Almería, España",+34 687 80 36 06,http://kwalmeria.com/,4.8,27.0,es,Google reviews: 4.8* / 27,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",04004
Juan Miguel Jiménez Inmobiliaria en Almería,,,https://www.pisos.com/busqueda/0.1000.F001.E00000000000034.1475723.0X0.0.0.0X0.0.0X0X0.1/,4.8,44.0,es,Google reviews: 4.8* / 44,OPERATIONAL,"('real_estate_agency', 'establishment')",
To Project Home,"Plaza de San Pedro, 3, 04001 Almería, España",+34 617 95 86 80,https://toprojecthome.es/,4.9,28.0,es,Google reviews: 4.9* / 28,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04001
David Lao Inmobiliaria,"C. Javier Sanz, 12, 04004 Almería, España",+34 651 80 06 95,https://www.davidlaoinmobiliaria.es/,4.6,28.0,es,Google reviews: 4.6* / 28,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04004
Experto Inmobiliario ,"P.º de Almería, 7, 7A, 04001 Almería, España",+34 685 88 20 30,http://expertoinmobiliario.com/,4.6,33.0,es,Google reviews: 4.6* / 33,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04001
INMOBILIARIA KAPITAL,"Ctra. de Ronda, 343, 04009 Almería, España",+34 850 98 90 49,https://inmobiliariakapital.com/,5.0,43.0,es,Google reviews: 5* / 43,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04009
Tecnocasa agencia inmobiliaria ( 04002 ),"C. de la Reina, 51, local, 04002 Almería, España",+34 950 67 21 91,https://almeria5.tecnocasa.es/,4.9,85.0,fr,Google reviews: 4.9* / 85,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",04002
The Green Home,"C. Navarro Rodrigo, 11, 04001 Almería, España",+34 678 43 37 13,https://thegreenhome.es/,4.2,90.0,es,Google reviews: 4.2* / 90,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",04001
Multigestion Almeria,"Calle Dr. Fleming, 7, 04230 Huércal de Almería, Almería, España",+34 950 14 05 90,http://www.tupisoalmeria.com/,4.9,1003.0,es,Google reviews: 4.9* / 1003,OPERATIONAL,"('real_estate_agency', 'accounting', 'finance', 'consultant', 'point_of_interest', 'establishment')",04230
